src: https://en.touhouwiki.net/wiki/Touhou_Wiki

// PC-98 Games
TH 01  Highly Responsive to Prayers
TH 02  Story of Eastern Wonderland
TH 03  Phantasmagoria of Dim.Dream
TH 04  Lotus Land Story
TH 05  Mystic Square

//
// Windows Games
//

// Windows 1st Generation
TH 06  Embodiment of Scarlet Devil
TH 07  Perfect Cherry Blossom
TH 07.5  Immaterial and Missing Power
TH 08  Imperishable Night
TH 09  Phantasmagoria of Flower View
TH 09.5  Shoot the Bullet

// Windows 2st Generation
TH 10  Mountain of Faith
TH 10.5  Scarlet Weather Rhapsody
TH 11  Subterranean Animism
TH 12  Undefined Fantastic Object
TH 12.3  Touhou Hisoutensoku
TH 12.5  Double Spoiler
TH 12.8  Fairy Wars
TH 13  Ten Desires
TH 13.5  Hopeless Masquerade

// Windows 3rd Generation
TH 14  Double Dealing Character
TH 14.3  Impossible Spell Card
TH 14.5  Urban Legend in Limbo
TH 15  Legacy of Lunatic Kingdom
TH 15.5  Antinomy of Common Flowers
TH 16  Hidden Star in Four Seasons
TH 16.5  Violet Detector
TH 17  Wily Beast and Weakest Creature
TH 17.5  Sunken Fossil World
TH 18  Unconnected Marketeers
TH 18.5  100th Black Market
TH 19  Unfinished Dream of All Living Ghost
